Verified in DB,Database Product Name,Source,﻿Item ID,Department Name,Item Name,Size,Item Size,Base Price Palmers,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8017,008 BAKERY,Eli's H1 EAlth Br1 EAd,1 EA,1 EA,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8018,008 BAKERY,English Toasting Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8019,008 BAKERY,Parisian Baguette,1 EA,1 EA,$3.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8021,008 BAKERY,Garlic Br1 EAd,1 EA,1 EA,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8022,008 BAKERY,Hamburger Bun,1 EA,8-Pack,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8023,008 BAKERY,Hot Cross Bun,1 EA,6-Pack,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8024,008 BAKERY,Irish Soda Br1 EAd,1 EA,1 EA,$7.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8025,008 BAKERY,Irish Soda Br1 EAd,1 EA,1 EA,$7.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8026,008 BAKERY,Jumbo Kaiser Roll,1 EA,4-Pack,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8027,008 BAKERY,Jumbo Kaiser Roll,1 EA,1 EA,$0.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8030,008 BAKERY,Marble Rye Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8031,008 BAKERY,Miami Onion Roll,1 EA,8-Pack,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8032,008 BAKERY,Miami Onion Roll,1 EA,1 EA,$0.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8033,008 BAKERY,Mini Brioche Roll,1 EA,1 EA,$1.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8034,008 BAKERY,Mini Brioche Roll,1 EA,6-Pack,$8.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8035,008 BAKERY,Mini Egg Twist Roll,1 EA,12-Pack,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8036,008 BAKERY,Mini Gold Brioche Dinner Roll,1 EA,12-Pack,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8037,008 BAKERY,Mini Gold Brioche Slider,1 EA,1 EA,$0.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8039,008 BAKERY,Mini Kaiser Roll,1 EA,1 EA,$0.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8040,008 BAKERY,Parker House Dinner Roll,1 EA,6-Pack,$7.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8041,008 BAKERY,Portuguese Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8042,008 BAKERY,Portuguese Roll,1 EA,1 EA,$0.79,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8043,008 BAKERY,Portuguese Roll,1 EA,6-Pack,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8044,008 BAKERY,Portuguese Roll,1 EA,4-Pack,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8045,008 BAKERY,Pumpernickel Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8046,008 BAKERY,Raisin Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8047,008 BAKERY,Raisin Nut Loaf,1 EA,1 EA,$10.49,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8048,008 BAKERY,Seeded Rye Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8049,008 BAKERY,Snowflake Roll,1 EA,8-Pack,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8052,008 BAKERY,Stuffing Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8054,008 BAKERY,UCBC Mini Bagel,1 EA,1 EA,$1.45,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8055,008 BAKERY,UCBC Bagel,1 EA,1 EA,$1.95,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8057,008 BAKERY,Unseeded Rye Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8058,008 BAKERY,Vienna Roll,1 EA,4-Pack,$3.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8060,008 BAKERY,White Br1 EAd,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8070,008 BAKERY,Almond Danish Ring,1 EA,1 EA,$12.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8073,008 BAKERY,Apple Cinnamon Coffee Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8075,008 BAKERY,Banana Br1 EAd,1 EA,1 EA,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8077,008 BAKERY,Banana Nuf Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8080,008 BAKERY,Black & White Cookie,1 EA,1 EA,$3.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8082,008 BAKERY,Blueberry Lemon Scone,1 EA,1 EA,$2.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8087,008 BAKERY,Blueberry Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8088,008 BAKERY,Butter Pound Loaf,1 EA,1 EA,$7.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8090,008 BAKERY,Handmade Buttermilk Biscuits,1 EA,6-Pack,$14.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8091,008 BAKERY,Buttermilk Biscuit,1 EA,5-Pack,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8092,008 BAKERY,Chocolate Chip Banana Br1 EAd,1 EA,1 EA,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8094,008 BAKERY,Chocolate Chip Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8095,008 BAKERY,Chocolate Chip Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8096,008 BAKERY,Cinnamon Burst Coffee Cake Loaf,1 EA,1 EA,$7.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8097,008 BAKERY,Cinnamon Chip Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8098,008 BAKERY,Cinnamon Chip Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8099,008 BAKERY,Cinnamon Coffee Cake Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8100,008 BAKERY,Cinnamon Coffee Cake Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8105,008 BAKERY,Corn Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8106,008 BAKERY,Corn Muffin Top,1 EA,6-Pack,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8107,008 BAKERY,Corn Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8108,008 BAKERY,Cranberry Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8109,008 BAKERY,CRANBERRY MUFFIN,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8110,008 BAKERY,Cranberry Orange Nut Loaf,1 EA,1 EA,$7.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8115,008 BAKERY,Crumb Cake,1 EA,1 EA,$6.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8116,008 BAKERY,Donut Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8117,008 BAKERY,Double Chocolate Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8126,008 BAKERY,Harvest Muffin,1 EA,1 EA,$4.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8129,008 BAKERY,Lemon Loaf,1 EA,1 EA,$7.29,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8143,008 BAKERY,Mini Cornbr1 EAd Loaves,1 EA,1 EA,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8158,008 BAKERY,Pecan Danish Ring,1 EA,1 EA,$12.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8161,008 BAKERY,Plain Scone,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8165,008 BAKERY,Pumpkin Muffin Top,1 EA,6-Pack,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8166,008 BAKERY,Pumpkin Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8167,008 BAKERY,Raisin Bran Muffin,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8168,008 BAKERY,Raisin Bran Muffin,1 EA,4-Pack,$8.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8169,008 BAKERY,Raisin Scone,1 EA,1 EA,$2.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8170,008 BAKERY,Small Apricot Danish,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8171,008 BAKERY,Small Cheese Danish,1 EA,1 EA,$1.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8176,008 BAKERY,Sugar Scone,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8180,008 BAKERY,Ultimate Cornbr1 EAd,1 EA,Slice,$1.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8181,008 BAKERY,Ultimate Cornbr1 EAd,1 EA,"8"" Pan",$12.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8186,008 BAKERY,Zucchini Br1 EAd,1 EA,1 EA,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8199,008 BAKERY,Chocolate Brownie,1 EA,5-Pack,$6.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8202,008 BAKERY,Chocolate Chip Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8203,008 BAKERY,Chocolate Chip Walnut Brownie,1 EA,5-Pack,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8204,008 BAKERY,Chocolate Chunk Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8206,008 BAKERY,Coconut Pecan Cookie,1 EA,12-Pack,$11.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8207,008 BAKERY,Double Chocolate Chip Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8211,008 BAKERY,Lemon Cooler Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8214,008 BAKERY,Oatm1 EAl Raisin Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8215,008 BAKERY,P1 EAnut Butter Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8218,008 BAKERY,Royale Cookie,1 EA,12-Pack,$11.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8219,008 BAKERY,Salted Caramel Choc Chunk Cookie,1 EA,12-Pack,$11.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8220,008 BAKERY,Snickerdoodle Cookie,1 EA,12-Pack,$10.59,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8229,008 BAKERY,1/4 Sheet Chocolate Cake,1 EA,1 EA,$28.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8230,008 BAKERY,1/4 Sheet Gold Cake,1 EA,1 EA,$28.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8231,008 BAKERY,Carrot Cake,1 EA,4 Inch,$7.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8232,008 BAKERY,Chocolate Deco Cake,1 EA,4 Inch,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8233,008 BAKERY,Chocolate Fudge Cake,1 EA,4 Inch,$7.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8234,008 BAKERY,Chocolate Mocha Cake,1 EA,4 Inch,$7.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8235,008 BAKERY,Gold Deco Cake,1 EA,4 Inch,$8.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8236,008 BAKERY,Oreo Cake,1 EA,4 Inch,$7.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8237,008 BAKERY,Chocolate Deco Cake,1 EA,7 Inch,$19.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8238,008 BAKERY,Gold Deco Cake,1 EA,7 Inch,$19.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8239,008 BAKERY,Oreo Cake,1 EA,7 Inch,$17.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8240,008 BAKERY,Carrot Cake,1 EA,7 Inch,$14.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8241,008 BAKERY,Chocolate Deco Cake,1 EA,8 Inch,$21.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8242,008 BAKERY,Gold Deco Cake,1 EA,8 Inch,$21.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8243,008 BAKERY,Chocolate Cake,1 EA,1 EA,$19.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8245,008 BAKERY,Dutch Apple Pie,1 EA,1 EA,$14.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8247,008 BAKERY,Old Fashioned Apple Pie,1 EA,1 EA,$16.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8248,008 BAKERY,Old Fashioned Blueberry Pie,1 EA,1 EA,$22.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8249,008 BAKERY,Old Fashioned Cherry Pie,1 EA,1 EA,$22.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8250,008 BAKERY,Pumpkin Pie,1 EA,1 EA,$14.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8261,008 BAKERY,Lemon Cr1 EAm Pie,1 EA,1 EA,$4.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8263,008 BAKERY,Palmer's Own Pie Shell,1 EA,2-Pack,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8267,008 BAKERY,Tart Lemon Pudding,1 EA,1 EA,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8271,008 BAKERY,Assorted Danish,1 EA,Large,$3.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8273,008 BAKERY,Cinnamon Twist,1 EA,1 EA,$2.65,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8274,008 BAKERY,Cinnamon Bun Donut,1 EA,1 EA,$3.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8275,008 BAKERY,Cinnamon Roll,1 EA,6-Pack,$6.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8280,008 BAKERY,Old Fashioned Glazed Donut,1 EA,1 EA,$1.45,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8281,008 BAKERY,Small Classic Croissant,1 EA,1 EA,$0.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8282,008 BAKERY,Sticky Bun,1 EA,6-Pack,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8288,008 BAKERY,Cordial Cherry,1 EA,1 EA,$1.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8289,008 BAKERY,Dark Choc Milk Stripes Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8290,008 BAKERY,Dark Choc Non Pareils Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8291,008 BAKERY,Ginger Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8292,008 BAKERY,Ginger Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8293,008 BAKERY,Hazelnut Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8294,008 BAKERY,Holiday Shortbr1 EAd,1 EA,1 EA,$2.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8295,008 BAKERY,Holiday Shortbr1 EAd,1 EA,1 EA,$2.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8296,008 BAKERY,Holiday Shortbr1 EAd,1 EA,1 EA,$2.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8297,008 BAKERY,Lace Cookie,1 EA,1 EA,$1.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8298,008 BAKERY,Milk Choc M&M Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8299,008 BAKERY,Milk Choc Reese's PB Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8300,008 BAKERY,Milk Chocolate Sequins Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8301,008 BAKERY,Milk Choc Snow Caps Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8302,008 BAKERY,Milk Choc White Buttons Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8303,008 BAKERY,Milk Choc White Drizzle Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8304,008 BAKERY,Peppermint Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8306,008 BAKERY,Traditional Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8307,008 BAKERY,Traditional Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8308,008 BAKERY,Traditional Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8309,008 BAKERY,Vanilla Sprinkle Shortbr1 EAd,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8310,008 BAKERY,White Chocolate Jimmies Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8311,008 BAKERY,White Chocolate Oreo Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8312,008 BAKERY,White Chocolate Sequins Pretzel,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8316,008 BAKERY,Chocolate Covered Strawberry,1 EA,1 EA,$3.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8317,008 BAKERY,Chocolate Flourless Cake Bite,1 EA,1 EA,$2.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8320,008 BAKERY,Cookie Dough Truffle,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8324,008 BAKERY,Meringue,1 EA,Dozen,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8337,008 BAKERY,Large Cannoli,1 EA,1 EA,$3.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8338,008 BAKERY,Mini Cannoli,1 EA,3 1 EA,$5.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8339,008 BAKERY,Mini Cannoli,1 EA,1 EA,$2.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8342,008 BAKERY,Mini Choc Salted Caramel Tart,1 EA,1 EA,$1.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8360,008 BAKERY,Choc Dipped Coconut Macaroon,1 EA,Small,$1.25,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8361,008 BAKERY,Choc Dipped Coconut Macaroon,1 EA,Large,$3.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8362,008 BAKERY,Chocolate Chip Cookie Cake,1 EA,13 Inch Large,$28.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8364,008 BAKERY,Chocolate Chunk Cookie,1 EA,Large,$3.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8366,008 BAKERY,Coconut Macaroon,1 EA,Small,$0.99,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8367,008 BAKERY,Coconut Macaroon,1 EA,Large,$3.00,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8368,008 BAKERY,Mudslide Cookie,1 EA,Large,$3.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8370,008 BAKERY,Oatm1 EAl Raisin Cookie,1 EA,Large,$3.50,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8371,008 BAKERY,Oatm1 EAl Raisin Cookie,1 EA,Small,$1.75,,,,,,,,,,,,,,,,,,,,
NO,Invalid UPC format,,8372,008 BAKERY,P1 EAnut Butter Cookie,1 EA,Large,$3.50,,,,,,,,,,,,,,,,,,,,
